mine_id,state,mine_type,coal_type,mine_age_years,production_utilization_pct,production_change_pct,inspection_count_30d,days_since_last_inspection,missed_inspection_count,inspection_completion_rate,observation_count_30d,critical_observation_count,major_observation_count,total_violation_count_30d,total_violation_count_90d,open_violation_count,overdue_violation_count,high_severity_violation_count,critical_violation_count,repeat_violation_count,violation_growth_rate,total_action_count,overdue_action_count,average_action_delay_days,action_completion_rate,action_on_time_rate,verification_pending_count,incident_count_30d,incident_count_90d,fatality_count_90d,injury_count_90d,serious_incident_count,incident_growth_rate,environmental_anomaly_count,environmental_threshold_breach_count,environmental_breach_rate,days_since_last_incident,days_since_last_violation,compliance_rate,overdue_compliance_rate,critical_compliance_gap,zone_violation_count,repeat_violation_neighbor_count,neighbor_zone_risk,contractor_compliance_score,high_risk_contractor_count
IND_MINE_0093,Jharkhand,Mixed,Non-Coking Bituminous,31,73.48,-1.11,4,38,2,73.44,1,1,0,3,17,4,3,4,0,4,-16.53,32,5,24.73,90.83,81.18,3,2,8,0,1,1,-23.84,8,6,75.0,218,284,83.87,12.46,1,20,1,2.18,99.47,4
IND_MINE_0094,Jharkhand,Underground,Coking Coal,15,76.74,14.09,4,32,1,91.67,12,1,0,11,28,17,0,5,0,7,11.68,52,10,25.83,80.64,74.41,8,2,6,0,4,1,26.46,7,4,57.14,219,160,77.43,22.76,5,13,3,6.84,87.59,3
IND_MINE_0095,Jharkhand,Opencast,Sub-Bituminous,73,84.74,12.95,4,27,0,98.44,15,0,3,4,18,18,11,1,0,7,-4.96,33,3,14.1,95.77,89.05,4,1,5,0,2,1,31.22,8,5,62.5,621,42,78.94,23.43,1,1,1,9.2,82.34,0
IND_MINE_0096,Jharkhand,Opencast,Coking Coal,55,95.01,12.86,2,53,0,99.15,10,1,4,3,16,4,2,4,2,7,31.51,30,10,2.31,83.51,82.85,3,1,5,0,8,3,-2.37,3,0,0.0,63,288,77.53,22.26,5,12,5,8.66,62.86,1
IND_MINE_0097,West Bengal,Underground,Anthracite,56,75.91,18.07,3,5,0,86.75,4,1,2,5,11,5,5,0,0,4,8.62,32,1,33.03,90.53,79.35,11,1,6,0,1,1,-4.73,7,7,100.0,474,94,72.36,26.47,9,1,9,9.21,93.8,2
IND_MINE_0098,West Bengal,Opencast,Coking Coal,25,86.39,-3.94,3,21,1,90.05,13,2,8,4,7,1,1,3,1,0,-13.43,17,8,20.71,70.2,66.17,6,2,5,0,6,1,36.01,0,0,0,489,60,82.46,18.04,0,14,6,7.72,92.35,1
IND_MINE_0099,West Bengal,Mixed,Sub-Bituminous,68,83.73,18.86,1,22,0,98.45,9,2,1,7,24,24,11,0,0,5,7.26,43,14,33.82,83.0,82.25,11,0,4,0,7,3,1.98,3,2,66.67,427,131,64.93,37.15,9,16,10,2.76,74.32,0
IND_MINE_0100,West Bengal,Opencast,Non-Coking Bituminous,44,82.68,-18.83,5,34,2,78.18,7,1,6,12,30,8,6,3,1,4,10.36,42,12,13.03,73.71,59.81,4,1,6,0,3,3,-13.08,2,0,0.0,13,280,63.36,42.06,6,13,2,1.6,83.94,5
IND_MINE_0101,West Bengal,Underground,Non-Coking Bituminous,8,79.74,5.33,5,81,0,83.13,11,0,7,6,18,0,0,5,1,6,-10.46,21,3,2.65,89.08,72.59,9,1,4,0,7,1,28.65,7,5,71.43,236,261,81.02,23.14,4,18,1,5.22,51.26,3
IND_MINE_0102,West Bengal,Mixed,Anthracite,67,77.28,3.77,1,58,2,72.95,15,0,4,9,14,4,3,0,0,6,-15.19,15,1,10.64,83.3,81.93,4,1,3,0,3,0,34.25,7,0,0.0,53,45,83.45,21.26,2,7,3,7.7,88.97,3
IND_MINE_0103,West Bengal,Mixed,Anthracite,71,97.11,10.6,4,23,0,86.26,9,0,4,9,11,3,1,1,0,7,-0.52,32,2,23.97,85.89,73.17,5,0,6,1,0,2,17.59,2,0,0.0,305,202,83.52,21.0,7,7,4,6.5,60.67,5
IND_MINE_0104,West Bengal,Opencast,Non-Coking Bituminous,67,82.12,-8.43,2,16,1,82.33,5,3,2,12,28,19,2,2,2,7,13.28,45,14,15.0,77.54,59.77,1,2,7,0,2,3,-3.7,3,3,100.0,223,17,56.19,47.93,2,7,7,5.03,61.02,1
IND_MINE_0105,West Bengal,Mixed,Coking Coal,14,94.04,14.48,0,83,1,82.02,13,0,0,11,18,4,1,6,2,5,28.06,37,2,3.0,85.15,84.19,3,3,8,0,3,3,4.5,1,1,100.0,586,331,83.26,15.37,6,12,7,2.37,78.78,2
IND_MINE_0106,West Bengal,Mixed,Non-Coking Bituminous,26,95.89,6.49,2,49,2,78.1,6,0,2,4,20,12,12,3,1,6,-4.25,42,13,22.74,83.19,71.3,0,0,3,0,2,1,21.19,6,0,0.0,465,125,82.58,25.23,7,19,2,6.44,80.68,2
IND_MINE_0107,West Bengal,Mixed,Non-Coking Bituminous,56,84.04,9.36,4,65,1,86.67,7,2,4,7,11,8,1,6,1,5,-5.54,31,11,21.26,70.16,58.85,7,1,4,0,1,2,-24.22,8,5,62.5,409,238,69.13,27.94,8,8,3,1.71,77.75,5
IND_MINE_0108,West Bengal,Mixed,Non-Coking Bituminous,73,84.93,-2.13,3,72,1,84.59,4,2,2,6,23,13,12,0,0,1,-8.14,40,14,29.67,81.86,81.65,9,0,1,0,2,0,-12.87,6,3,50.0,113,327,64.44,32.9,7,14,9,9.05,87.92,4
IND_MINE_0109,West Bengal,Opencast,Non-Coking Bituminous,64,92.43,4.32,1,28,2,77.26,1,0,1,2,7,5,1,4,0,1,19.69,30,4,9.04,82.81,72.02,9,2,4,0,3,1,-18.21,6,6,100.0,228,0,88.06,19.81,5,4,9,1.87,76.44,2
IND_MINE_0110,West Bengal,Mixed,Non-Coking Bituminous,9,75.74,-5.91,3,30,2,85.47,14,1,1,12,27,1,1,5,2,4,34.73,43,3,29.17,82.5,71.01,2,0,4,0,4,2,14.41,3,2,66.67,250,136,74.77,28.58,2,18,1,8.25,80.15,2
IND_MINE_0111,West Bengal,Opencast,Coking Coal,31,71.22,-1.81,5,15,2,89.98,5,1,4,10,24,7,2,5,2,3,-11.58,46,5,14.14,94.01,81.2,1,0,2,0,4,1,7.3,4,0,0.0,560,241,70.47,36.64,2,11,2,2.12,79.75,1
IND_MINE_0112,West Bengal,Underground,Anthracite,55,78.57,5.4,2,26,0,84.09,6,0,6,10,21,15,8,0,0,6,1.65,23,4,22.79,78.5,68.79,4,0,2,0,4,0,39.13,5,5,100.0,581,54,69.43,33.83,1,16,3,7.09,92.33,1
IND_MINE_0113,West Bengal,Underground,Anthracite,11,85.09,-1.14,5,62,2,83.76,4,1,0,5,12,4,4,2,1,4,17.78,36,7,12.35,87.23,86.97,3,0,4,0,8,3,21.61,0,0,0,10,51,82.35,25.54,5,12,1,1.14,85.97,4
IND_MINE_0114,West Bengal,Mixed,Anthracite,41,99,-7.71,2,33,0,95.94,10,1,3,4,22,5,3,3,1,1,-11.57,34,3,28.2,95.2,85.27,0,0,3,0,1,1,25.56,4,1,25.0,470,129,75.3,23.45,0,10,4,8.99,100,3
IND_MINE_0115,West Bengal,Mixed,Anthracite,18,67.15,11.25,0,81,2,73.56,18,1,5,11,28,16,16,0,0,1,16.45,39,18,21.39,71.11,70.54,6,1,7,0,5,1,-1.44,6,4,66.67,344,60,61.24,34.93,5,20,2,7.93,88.14,0
IND_MINE_0116,West Bengal,Underground,Anthracite,30,80.12,23.54,3,9,1,82.85,15,1,6,4,18,2,1,2,0,7,-2.1,26,9,10.79,73.73,55.76,9,1,7,0,1,3,-2.74,1,0,0.0,390,159,86.51,8.62,3,12,6,6.58,100,5
IND_MINE_0117,West Bengal,Mixed,Sub-Bituminous,52,76.81,-1.89,4,12,1,87.15,8,2,0,6,16,7,1,1,1,1,17.03,38,8,5.45,78.93,63.33,8,0,2,0,3,2,39.52,0,0,0,237,296,72.92,33.92,3,15,7,4.91,78.96,5
IND_MINE_0118,West Bengal,Underground,Sub-Bituminous,43,76.13,4.93,5,39,0,89.86,10,0,8,6,18,3,0,3,0,5,27.13,22,7,8.42,79.14,69.25,9,0,5,0,2,2,15.18,2,2,100.0,513,25,87.53,18.72,4,8,4,2.16,96.57,5
IND_MINE_0119,West Bengal,Underground,Coking Coal,45,79.2,3.87,0,73,4,77.57,9,2,3,5,9,2,0,3,0,2,23.85,21,3,19.65,80.78,74.58,0,0,2,0,1,1,11.29,0,0,0,410,111,82.28,24.17,9,14,8,7.23,80.53,2
IND_MINE_0120,West Bengal,Underground,Sub-Bituminous,63,83.75,2.49,0,68,3,79.38,14,0,5,10,22,15,9,3,2,7,4.74,36,11,20.76,76.6,72.55,6,3,8,0,8,0,-0.47,2,0,0.0,304,152,71.5,34.12,5,3,2,4.0,83.66,3
IND_MINE_0121,West Bengal,Opencast,Sub-Bituminous,66,82.63,-11.86,2,82,0,91.0,4,0,2,4,7,2,2,3,1,5,-13.34,10,3,21.45,76.24,62.67,1,1,2,0,4,2,20.76,8,2,25.0,68,240,89.45,15.72,0,8,5,9.96,100,5
IND_MINE_0122,West Bengal,Opencast,Coking Coal,55,86.89,-11.01,4,88,1,79.46,4,2,2,11,26,4,3,0,0,6,18.71,36,8,28.43,77.31,65.81,3,0,2,0,4,2,-7.78,4,1,25.0,617,324,64.04,34.86,10,19,4,2.53,84.11,1
IND_MINE_0123,West Bengal,Underground,Sub-Bituminous,21,89.26,-3.43,2,11,0,92.97,3,2,1,12,15,6,5,5,1,3,-1.53,37,2,18.68,86.46,84.24,4,2,2,0,4,2,-7.23,2,0,0.0,690,293,61.25,44.41,0,7,10,8.21,80.83,3
IND_MINE_0124,West Bengal,Mixed,Sub-Bituminous,59,83.43,7.68,1,40,2,77.09,10,0,0,4,14,6,1,0,0,2,-14.68,21,7,28.91,84.75,82.64,8,2,8,0,0,1,29.12,7,2,28.57,247,10,90.69,16.16,0,3,1,3.64,96.93,4
IND_MINE_0125,West Bengal,Opencast,Anthracite,18,92.62,-6.78,2,34,0,95.86,18,0,5,11,17,13,6,5,2,0,-16.36,30,10,31.86,77.38,75.08,2,0,0,0,0,0,-22.96,3,3,100.0,306,122,77.01,30.35,3,9,2,3.38,77.98,0
IND_MINE_0126,West Bengal,Mixed,Sub-Bituminous,63,76.58,-5.64,2,68,2,84.99,15,1,5,9,23,4,4,6,0,2,-1.08,40,10,31.93,87.05,75.6,0,0,0,0,0,0,-10.1,4,2,50.0,126,173,78.26,25.9,2,3,0,8.14,88.92,5
IND_MINE_0127,West Bengal,Underground,Non-Coking Bituminous,42,79.28,-7.96,1,14,1,88.67,1,0,1,1,4,1,0,1,1,4,22.37,5,2,33.29,68.18,53.08,5,0,4,0,2,1,10.79,3,0,0.0,360,65,92.74,4.51,8,12,6,2.94,81.96,5
IND_MINE_0128,West Bengal,Underground,Sub-Bituminous,47,82.07,5.85,2,76,1,83.19,18,0,4,6,20,2,0,3,1,0,-10.24,44,21,10.1,66.07,64.64,1,3,6,0,6,2,32.54,1,0,0.0,300,256,84.49,22.34,8,3,6,1.85,75.0,2
IND_MINE_0129,West Bengal,Mixed,Anthracite,59,67.12,2.6,4,52,1,94.22,15,0,3,1,4,1,1,0,0,3,15.74,8,3,14.24,82.48,78.09,1,0,5,0,1,3,-23.96,1,1,100.0,110,320,91.73,12.68,6,14,5,2.98,72.36,4
IND_MINE_0130,West Bengal,Underground,Sub-Bituminous,56,88.94,-13.68,5,0,0,88.59,17,0,0,2,6,1,0,2,1,2,17.76,24,8,25.78,82.71,78.78,1,0,0,0,0,0,30.85,3,3,100.0,494,25,87.1,19.22,10,1,5,3.72,100,4
IND_MINE_0131,West Bengal,Underground,Coking Coal,34,82.73,5.93,5,87,2,87.06,18,0,1,3,13,11,0,2,2,5,11.69,15,1,15.37,96.57,94.48,1,0,3,0,6,1,-1.94,7,2,28.57,376,354,95.15,2.63,3,5,7,8.47,79.46,0
IND_MINE_0132,West Bengal,Mixed,Anthracite,16,70.77,11.63,2,80,1,91.04,14,0,6,12,19,7,2,6,2,2,-14.08,43,21,29.38,66.98,60.54,5,1,2,0,1,0,-5.42,5,2,40.0,605,274,77.4,21.39,9,11,8,8.02,78.57,2
IND_MINE_0133,West Bengal,Underground,Non-Coking Bituminous,60,75.02,6.04,0,0,4,68.88,2,0,1,1,13,5,3,2,1,3,-19.15,13,1,24.32,85.01,73.67,0,0,3,0,5,3,4.25,1,1,100.0,722,90,84.3,18.43,10,5,1,9.5,81.37,4
IND_MINE_0134,West Bengal,Underground,Coking Coal,21,80.59,0.32,5,14,2,81.76,17,0,4,5,14,14,12,4,1,4,21.22,24,11,33.44,73.99,63.61,6,1,3,0,3,3,-5.73,7,2,28.57,107,32,73.12,25.36,0,3,6,2.7,100,0
IND_MINE_0135,West Bengal,Mixed,Sub-Bituminous,17,86.78,3.88,2,51,0,87.68,17,0,5,1,6,1,1,6,2,0,30.93,29,11,23.14,70.37,65.11,8,3,9,0,8,0,-23.08,8,0,0.0,87,339,91.81,3.39,2,13,1,6.77,88.99,3
IND_MINE_0136,West Bengal,Opencast,Anthracite,52,99,8.52,5,29,1,88.07,10,0,7,7,11,8,4,6,2,5,-4.47,18,7,3.66,70.7,54.38,6,0,6,1,0,1,16.06,1,0,0.0,308,50,76.04,29.77,6,13,3,1.79,52.35,2
IND_MINE_0137,West Bengal,Opencast,Non-Coking Bituminous,17,92.93,-0.72,0,82,0,99.21,3,0,3,9,18,1,1,0,0,6,-10.51,22,3,33.18,91.01,89.34,11,1,3,0,6,0,-12.94,6,1,16.67,487,67,76.7,27.15,4,1,8,5.17,97.09,2
IND_MINE_0138,West Bengal,Mixed,Anthracite,22,79.6,-4.46,4,54,0,98.55,7,0,0,6,17,2,1,1,1,5,12.38,28,5,27.7,79.81,72.9,11,1,5,0,6,3,-21.83,2,0,0.0,354,159,87.91,8.44,8,18,9,7.11,83.66,4
IND_MINE_0139,West Bengal,Opencast,Sub-Bituminous,51,87.7,-0.26,5,11,2,87.37,1,0,1,5,11,7,0,1,0,4,-15.86,33,11,11.69,79.07,78.53,3,2,3,0,1,1,9.91,0,0,0,440,326,85.33,19.94,1,13,5,7.26,86.46,2
IND_MINE_0140,West Bengal,Opencast,Non-Coking Bituminous,45,91.97,6.83,1,20,1,78.03,10,2,8,13,27,16,16,3,2,5,-11.44,29,11,12.21,67.93,56.17,6,1,5,0,1,0,9.02,7,6,85.71,562,302,57.4,47.62,9,6,2,9.32,73.42,2
IND_MINE_0141,West Bengal,Opencast,Coking Coal,53,68.74,2.98,1,31,2,80.68,3,0,3,12,30,6,0,0,0,2,9.71,36,16,0.42,67.57,67.0,2,0,6,2,7,3,34.53,4,4,100.0,685,287,77.69,20.65,6,8,4,9.4,90.28,1
IND_MINE_0142,West Bengal,Underground,Anthracite,8,58.19,-6.03,1,25,0,93.38,10,1,3,6,17,6,3,3,2,4,-11.22,41,8,25.27,88.25,86.21,8,0,1,0,2,1,-4.65,0,0,0,680,179,83.42,23.53,8,20,8,9.06,71.58,5
IND_MINE_0143,West Bengal,Opencast,Non-Coking Bituminous,33,81.45,8.31,4,89,0,88.08,9,0,2,5,14,11,9,2,1,4,25.52,29,2,16.02,92.1,75.3,11,0,4,0,7,3,-1.67,6,1,16.67,645,127,85.37,22.16,4,19,9,5.61,68.26,3
IND_MINE_0144,West Bengal,Opencast,Coking Coal,48,80.3,-5.31,5,74,0,85.76,11,1,0,3,18,18,6,4,0,0,5.17,30,3,10.47,92.28,87.44,0,1,2,0,2,1,35.87,4,0,0.0,397,182,82.51,17.2,7,8,6,1.81,89.98,4
IND_MINE_0145,West Bengal,Mixed,Sub-Bituminous,71,70.82,6.36,3,86,1,92.83,18,0,0,9,12,5,4,0,0,3,30.41,25,4,34.32,83.19,72.51,3,0,4,0,5,2,3.05,6,5,83.33,473,8,83.25,24.58,8,9,4,4.96,85.69,0
IND_MINE_0146,West Bengal,Mixed,Coking Coal,64,77.53,16.82,3,89,2,77.74,16,2,6,10,20,14,9,2,1,6,32.89,25,7,22.42,81.63,81.09,0,0,1,0,2,0,22.41,0,0,0,680,21,65.5,34.64,0,0,5,1.96,80.33,4
IND_MINE_0147,West Bengal,Mixed,Coking Coal,63,69.6,2.78,1,89,2,78.21,17,1,1,11,20,14,13,6,1,5,7.62,43,1,34.28,98.5,98.35,10,3,3,0,1,0,16.7,7,4,57.14,447,240,62.39,43.53,9,3,9,1.25,75.5,3
IND_MINE_0148,West Bengal,Mixed,Coking Coal,30,74.24,-0.07,5,28,1,85.48,4,2,2,8,10,6,0,5,0,6,13.05,12,5,23.82,70.79,69.38,8,0,2,0,4,2,33.99,6,3,50.0,17,236,76.66,30.72,5,20,5,4.15,59.65,1
IND_MINE_0149,West Bengal,Mixed,Anthracite,22,85.59,7.28,1,31,0,89.78,6,3,3,4,14,10,4,4,2,0,-6.5,34,10,6.57,73.74,58.73,2,1,6,0,6,1,-17.41,8,4,50.0,131,91,73.37,31.29,6,6,1,2.25,66.08,2
IND_MINE_0150,West Bengal,Underground,Non-Coking Bituminous,12,60.63,0.23,4,76,1,84.13,4,0,4,3,9,5,5,6,1,7,16.19,15,7,0.17,71.93,58.15,5,0,3,0,5,0,-20.92,2,2,100.0,470,209,86.08,10.63,2,17,3,9.57,92.13,2
IND_MINE_0151,West Bengal,Underground,Non-Coking Bituminous,17,74.13,2.43,1,44,1,88.29,13,0,4,1,15,0,0,2,0,5,25.84,22,11,11.99,66.55,57.1,9,0,3,0,0,2,8.29,6,5,83.33,60,120,97.43,9.5,9,18,0,2.51,100,4
IND_MINE_0152,West Bengal,Opencast,Sub-Bituminous,51,99,2.43,0,11,0,96.97,4,0,4,6,16,0,0,2,0,4,-6.4,23,4,18.78,89.41,71.6,5,0,5,0,7,1,-14.27,7,2,28.57,562,235,81.54,15.38,2,10,9,8.57,86.88,1
IND_MINE_0153,West Bengal,Mixed,Anthracite,45,92.46,1.28,0,6,4,74.99,11,1,4,4,17,3,3,1,1,2,34.52,31,11,13.19,78.65,60.77,1,1,1,0,0,1,-0.96,8,6,75.0,383,4,80.79,14.99,2,14,7,2.83,89.65,0
IND_MINE_0154,West Bengal,Mixed,Anthracite,60,70.32,-4.86,1,6,1,87.77,1,1,0,6,18,3,3,6,2,0,7.71,26,8,1.3,78.63,64.39,4,1,1,0,1,1,29.65,1,0,0.0,574,99,81.25,21.93,6,1,5,8.02,78.97,4
IND_MINE_0155,West Bengal,Underground,Anthracite,33,75.24,-1.83,0,77,3,68.55,7,0,3,12,26,0,0,3,0,3,20.69,27,1,0.24,86.75,72.81,11,1,2,0,4,0,22.21,6,5,83.33,643,287,71.94,26.09,6,2,4,3.78,73.42,0
IND_MINE_0156,West Bengal,Mixed,Coking Coal,23,80.64,-4.27,5,16,1,86.21,11,1,5,12,19,6,0,3,2,5,-13.53,38,1,21.07,89.99,87.59,11,3,3,0,6,2,26.2,3,3,100.0,189,127,75.71,24.18,7,5,5,3.63,79.77,5
IND_MINE_0157,West Bengal,Mixed,Anthracite,26,70.51,5.5,2,25,1,84.72,9,1,2,7,24,24,22,3,0,3,24.29,46,9,21.83,76.25,66.62,2,0,0,0,0,0,35.37,8,4,50.0,575,251,61.17,36.81,1,19,8,9.08,86.56,3
IND_MINE_0158,West Bengal,Mixed,Coking Coal,74,78.38,2.2,1,36,2,72.54,6,0,0,8,12,12,12,2,2,1,10.3,23,7,4.76,76.62,68.95,5,0,0,0,0,0,-20.27,2,1,50.0,649,9,67.43,36.12,6,1,2,7.56,73.6,5
IND_MINE_0159,West Bengal,Opencast,Non-Coking Bituminous,75,81.88,-5.1,5,62,2,74.01,13,0,7,4,7,4,1,5,2,5,22.93,25,1,29.14,86.53,81.95,2,0,6,0,0,2,8.35,4,2,50.0,41,21,86.88,14.33,4,17,7,6.04,100,4
IND_MINE_0160,West Bengal,Opencast,Anthracite,27,76.46,24.09,4,63,2,87.68,7,0,7,5,12,8,4,1,0,3,-16.95,14,5,30.62,82.7,81.12,1,2,4,0,1,3,23.52,6,3,50.0,613,358,85.81,9.7,8,20,6,1.96,92.26,5
IND_MINE_0161,West Bengal,Underground,Anthracite,58,59.73,5.41,4,50,0,96.97,3,0,3,0,16,10,8,6,0,5,-15.5,34,15,24.51,66.49,61.45,5,1,5,0,1,1,27.39,5,0,0.0,477,186,88.02,14.54,8,3,7,2.98,80.93,0
IND_MINE_0162,West Bengal,Underground,Coking Coal,20,85.1,4.24,0,65,4,79.47,13,1,6,5,21,19,12,3,2,6,25.6,24,7,14.55,77.7,66.54,0,0,2,0,0,0,-3.85,7,4,57.14,350,199,71.28,23.99,10,2,2,4.15,94.96,1
IND_MINE_0163,West Bengal,Underground,Sub-Bituminous,39,63.44,-9.05,4,53,2,87.24,9,0,6,4,10,1,1,5,2,7,3.87,30,2,16.69,89.33,75.4,0,2,7,0,8,3,-7.09,6,4,66.67,321,341,84.93,10.7,8,7,7,4.53,97.5,2
IND_MINE_0164,West Bengal,Opencast,Coking Coal,25,66.79,-4.03,3,26,0,89.87,4,0,4,8,25,5,1,4,1,6,-14.7,34,17,25.26,72.3,68.72,5,1,1,0,1,1,-5.55,1,1,100.0,173,204,80.78,14.51,1,13,4,2.08,65.29,3
IND_MINE_0165,West Bengal,Opencast,Non-Coking Bituminous,75,86.38,-1.65,3,46,2,72.88,10,1,2,3,19,5,5,0,0,4,24.42,30,3,27.35,93.63,86.59,0,3,5,0,0,3,25.33,0,0,0,310,253,77.49,29.24,6,3,0,5.7,86.27,0
IND_MINE_0166,West Bengal,Underground,Coking Coal,38,66.08,-2.5,5,16,2,86.99,2,2,0,14,30,23,20,6,2,0,30.38,51,23,31.01,66.97,51.25,3,0,2,0,4,2,14.4,5,0,0.0,510,243,42.41,57.09,2,5,9,3.75,94.92,1
IND_MINE_0167,West Bengal,Mixed,Non-Coking Bituminous,71,80.99,15.41,0,77,4,68.94,10,1,4,6,24,18,7,2,1,4,16.76,46,7,32.97,84.63,80.27,8,0,3,0,3,2,30.63,0,0,0,488,89,72.86,25.92,10,14,7,7.84,86.98,3
IND_MINE_0168,Madhya Pradesh,Underground,Non-Coking Bituminous,44,78.36,25.9,3,59,0,90.63,12,0,1,6,19,18,13,6,1,7,-5.45,21,3,4.9,93.19,88.95,12,0,5,0,8,1,-19.31,6,0,0.0,215,6,72.19,29.73,10,12,4,9.23,82.33,3
IND_MINE_0169,Madhya Pradesh,Mixed,Coking Coal,21,61.26,4.71,0,83,2,86.03,10,0,3,10,15,7,0,6,1,6,-13.07,21,10,30.37,78.51,64.86,11,0,2,0,4,2,39.4,5,3,60.0,388,278,77.67,25.44,5,2,5,6.99,71.42,1
IND_MINE_0170,Madhya Pradesh,Underground,Non-Coking Bituminous,48,72.21,10.59,2,9,0,84.28,3,0,3,0,4,0,0,1,0,4,-17.38,7,0,25.56,92.78,89.93,6,1,5,0,1,0,22.57,8,8,100.0,98,139,92.73,4.53,4,6,8,2.45,82.78,3
IND_MINE_0171,Madhya Pradesh,Opencast,Sub-Bituminous,67,84.55,0.55,5,38,2,76.09,4,0,2,0,6,3,3,0,0,3,-16.13,27,8,0.06,83.13,66.93,2,2,4,0,1,0,10.01,8,3,37.5,100,221,91.31,14.04,9,2,3,6.79,84.32,4
IND_MINE_0172,Madhya Pradesh,Opencast,Sub-Bituminous,32,81.1,-9.07,0,53,4,76.8,12,0,2,3,10,5,4,4,0,3,11.91,16,6,20.26,82.8,82.06,11,0,0,0,0,0,-15.9,6,5,83.33,67,89,87.76,17.47,3,0,8,7.61,79.39,5
IND_MINE_0173,Madhya Pradesh,Mixed,Non-Coking Bituminous,43,97.13,-1.86,0,11,3,69.98,2,0,2,8,16,7,5,5,2,2,-8.57,20,2,23.44,95.16,81.48,5,1,5,0,3,0,-7.05,6,5,83.33,661,247,84.66,12.92,9,4,10,7.8,81.67,1
IND_MINE_0174,Madhya Pradesh,Opencast,Anthracite,59,95.62,3.56,0,20,2,82.08,4,0,4,6,9,7,4,3,2,7,10.32,25,7,14.94,83.97,81.06,5,0,2,0,1,1,30.74,5,0,0.0,591,65,81.62,26.12,8,0,1,5.69,64.35,4
IND_MINE_0175,Madhya Pradesh,Underground,Coking Coal,45,79.87,8.71,2,30,1,89.07,3,1,0,10,21,6,0,0,0,7,26.58,23,6,33.33,75.66,64.25,9,0,3,0,5,0,18.86,8,5,62.5,187,139,70.0,25.89,10,9,4,8.51,64.01,1
IND_MINE_0176,Madhya Pradesh,Underground,Sub-Bituminous,31,91.96,-13.85,5,28,1,89.04,7,0,4,7,12,9,9,5,0,6,3.4,19,3,28.48,84.45,68.71,1,0,5,0,8,2,4.02,4,0,0.0,272,279,75.16,26.03,3,6,5,8.96,72.41,1
IND_MINE_0177,Madhya Pradesh,Opencast,Sub-Bituminous,36,77.5,0.28,1,50,1,77.2,13,1,4,6,8,8,5,1,1,1,27.99,30,10,9.43,77.44,70.98,5,0,0,0,0,0,-15.26,7,3,42.86,197,291,70.62,34.31,3,20,6,9.75,78.42,0
IND_MINE_0178,Madhya Pradesh,Mixed,Coking Coal,28,82.03,-2.56,3,58,1,78.3,18,1,7,2,9,4,2,5,0,7,-12.59,28,7,0.53,77.22,71.8,7,0,1,0,1,0,7.44,7,6,85.71,135,224,78.86,23.98,3,11,2,3.73,67.99,5
IND_MINE_0179,Madhya Pradesh,Underground,Coking Coal,53,77.5,14.27,5,65,2,86.68,18,0,2,12,22,22,22,1,0,1,-4.2,29,8,6.2,80.05,78.8,1,1,6,0,0,0,37.57,0,0,0,130,73,54.57,47.05,2,9,3,5.43,70.67,0
IND_MINE_0180,Madhya Pradesh,Mixed,Coking Coal,34,60.43,-4.32,0,90,2,82.33,7,2,5,14,30,1,0,3,2,6,23.04,50,22,7.75,74.82,65.66,4,0,4,0,2,0,-21.37,4,2,50.0,156,254,58.56,38.63,1,4,9,6.09,78.29,4
IND_MINE_0181,Madhya Pradesh,Opencast,Coking Coal,43,84.15,-7.46,4,71,1,83.88,4,1,3,6,10,7,5,0,0,5,-8.37,27,12,14.56,79.4,70.58,1,2,2,0,2,1,-18.59,7,1,14.29,68,228,71.41,35.38,10,19,10,8.37,97.54,3
IND_MINE_0182,Madhya Pradesh,Mixed,Non-Coking Bituminous,37,99,8.5,0,60,3,76.0,10,0,8,2,14,2,0,1,0,1,21.72,20,1,20.99,94.8,92.11,7,1,2,0,2,1,-14.21,7,1,14.29,712,324,89.42,8.14,8,8,0,7.9,96.27,3
IND_MINE_0183,Madhya Pradesh,Opencast,Non-Coking Bituminous,38,81.84,-1.98,2,20,2,86.36,8,0,2,12,26,25,15,4,1,1,-18.04,38,8,20.0,90.46,76.93,10,0,5,0,8,0,8.08,7,7,100.0,134,309,69.95,31.7,8,2,4,8.74,77.78,1
IND_MINE_0184,Madhya Pradesh,Mixed,Sub-Bituminous,37,63.6,17.66,2,90,2,85.34,10,1,8,4,6,2,1,6,2,1,-4.59,7,2,9.9,82.71,79.93,5,0,6,0,6,2,21.44,1,1,100.0,76,299,83.53,20.94,1,9,6,7.89,81.31,3
IND_MINE_0185,Madhya Pradesh,Underground,Sub-Bituminous,17,84.72,8.37,3,6,2,72.8,8,1,6,4,9,8,1,6,0,5,10.42,24,7,5.7,84.87,72.71,10,0,0,0,0,0,-4.61,1,1,100.0,698,124,88.42,6.81,2,9,10,4.13,78.0,3
IND_MINE_0186,Madhya Pradesh,Underground,Sub-Bituminous,47,81.46,0.38,4,33,2,83.42,16,0,7,10,21,11,4,0,0,7,16.0,46,17,20.71,78.47,63.27,9,0,0,0,0,0,20.88,0,0,0,114,103,76.89,18.7,2,19,2,7.55,90.8,1
IND_MINE_0187,Madhya Pradesh,Underground,Anthracite,71,81.82,-6.19,4,20,0,99.14,6,0,1,10,17,2,0,4,2,4,2.08,39,13,12.06,82.49,69.91,7,2,6,0,4,1,12.38,2,0,0.0,361,227,84.2,23.68,2,5,0,1.79,87.18,0
